product_id,discounted_price,actual_price,discount_percentage,rating,rating_count,worth or not worth
B07JW9H4J1,399,"1,099",0.64,4.2,"24,269",1
B098NS6PVG,199,349,0.43,4,"43,994",1
B096MSW6CT,199,"1,899",0.9,3.9,"7,928",1
B08HDJ86NZ,329,699,0.53,4.2,"94,363",1
B08CF3B7N1,154,399,0.61,4.2,"16,905",1
B08Y1TFSP6,149,"1,000",0.85,3.9,"24,871",1
B08WRWPM22,176.63,499,0.65,4.1,"15,188",1
B08DDRGWTJ,229,299,0.23,4.3,"30,411",1
B008IFXQFU,499,999,0.5,4.2,"1,79,691",0
B082LZGK39,199,299,0.33,4,"43,994",1
B08CF3D7QR,154,339,0.55,4.3,"13,391",1
B0789LZTCJ,299,799,0.63,4.2,"94,363",1
B07KSMBL2H,219,700,0.69,4.4,"4,26,973",0
B085DTN6R2,350,899,0.61,4.2,"2,262",1
B09KLVMZ3B,159,399,0.6,4.1,"4,768",1
B083342NKJ,349,399,0.13,4.4,"18,757",1
B0B6F7LX4C,13999,"24,999",0.44,4.2,"32,840",1
B082LSVT4B,249,399,0.38,4,"43,994",1
B08WRBG3XW,199,499,0.6,4.1,"13,045",1
B08DPLCM6T,13490,"21,990",0.39,4.3,"11,976",1
B09C6HXFC1,970,"1,799",0.46,4.5,815,0
B085194JFL,279,499,0.44,3.7,"10,962",1
B09F6S8BT6,13490,"22,900",0.41,4.3,"16,299",1
B09NHVCHS9,59,199,0.7,4,"9,378",1
B0B1YVCJ2Y,11499,"19,990",0.42,4.3,"4,703",1
B01M4GGIVU,199,699,0.72,4.2,"12,153",1
B08B42LWKN,14999,"19,999",0.25,4.2,"34,899",1
B094JNXNPV,299,399,0.25,4,"2,766",1
B09W5XR9RT,970,"1,999",0.51,4.4,184,0
B077Z65HSD,299,999,0.7,4.3,"20,850",1
B00NH11PEY,199,750,0.73,4.5,"74,976",1
B09CMM3VGK,179,499,0.64,4,"1,934",0
B08QSC1XY8,389,"1,099",0.65,4.3,974,0
B008FWZGSG,599,599,0,4.3,355,0
B0B4HJNPV4,199,999,0.8,3.9,"1,075",0
B08Y1SJVV5,99,666.66,0.85,3.9,"24,871",1
B07XLCFSSN,899,"1,900",0.53,4.4,"13,552",1
B09RZS1NQT,199,999,0.8,4,576,0
B0B3MMYHYW,32999,"45,999",0.28,4.2,"7,298",1
B09C6HWG18,970,"1,999",0.51,4.2,462,0
B00NH11KIK,209,695,0.7,4.5,"1,07,687",0
B09JPC82QC,19999,"34,999",0.43,4.3,"27,151",1
B07JW1Y6XV,399,"1,099",0.64,4.2,"24,269",1
B07KRCW6LZ,999,"1,599",0.38,4.3,"12,093",1
B09NJN8L25,59,199,0.7,4,"9,378",1
B07XJYYH7L,333,999,0.67,3.3,"9,792",1
B002PD61Y4,507,"1,208",0.58,4.1,"8,131",1
B014I8SSD0,309,475,0.35,4.4,"4,26,973",0
B09L8DSSFH,399,999,0.6,3.6,493,0
B07232M876,199,395,0.5,4.2,"92,595",1
B07P681N66,1199,"2,199",0.45,4.4,"24,780",1
B0711PVX6Z,179,500,0.64,4.2,"92,595",1
B082T6V3DT,799,"2,100",0.62,4.3,"8,188",1
B07MKFNHKG,6999,"12,999",0.46,4.2,"4,003",1
B0BFWGBX61,199,349,0.43,4.1,314,0
B01N90RZ4M,230,499,0.54,3.7,"2,960",1
B0088TKTY2,649,"1,399",0.54,4.2,"1,79,691",0
B09Q5SWVBJ,15999,"21,999",0.27,4.2,"34,899",1
B0B4DT8MKT,348,"1,499",0.77,4.2,656,0
B08CDKQ8T6,154,349,0.56,4.3,"7,064",1
B07B275VN9,179,799,0.78,3.7,"2,201",0
B0B15CPR37,32990,"47,900",0.31,4.3,"7,109",1
B0994GFWBH,139,999,0.86,4,"1,313",0
B01GGKZ0V6,329,845,0.61,4.2,"29,746",1
B09F9YQQ7B,13999,"24,999",0.44,4.2,"45,238",1
B014I8SX4Y,309,"1,400",0.78,4.4,"4,26,973",0
B09Q8HMKZX,263,699,0.62,4.1,450,0
B0B9XN9S3W,7999,"14,990",0.47,4.3,457,0
B07966M8XH,1599,"2,999",0.47,4.2,"2,727",1
B01GGKYKQM,219,700,0.69,4.3,"20,053",1
B0B86CDHL1,349,899,0.61,4.5,149,0
B0B5ZF3NRK,349,599,0.42,4.1,210,0
B09RFC46VP,26999,"42,999",0.37,4.2,"45,238",1
B08R69VDHT,115,499,0.77,4,"7,732",1
B09RWZRCP1,399,999,0.6,4.1,"1,780",0
B09CMP1SC8,199,499,0.6,4.1,602,0
B09YLXYP7Y,179,399,0.55,4,"1,423",0
B09ZPM4C2C,10901,"30,990",0.65,4.1,398,0
B0B2DJDCPX,209,499,0.58,3.9,536,0
B0BCZCQTJX,1434,"3,999",0.64,4,32,0
B07LGT55SJ,399,"1,099",0.64,4.2,"24,269",1
B09NKZXMWJ,139,249,0.44,4,"9,378",1
B08QX1CC14,7299,"19,125",0.62,3.4,902,0
B0974H97TJ,299,799,0.63,4.4,"28,791",1
B07GVGTSLN,325,"1,299",0.75,4.2,"10,576",1
B09VCHLSJF,29999,"39,999",0.25,4.2,"7,298",1
B0B1YZX72F,27999,"40,990",0.32,4.3,"4,703",1
B092BJMT8Q,30990,"52,900",0.41,4.3,"7,109",1
B0BMXMLSMM,199,999,0.8,4.5,127,0
B07JH1C41D,649,"1,999",0.68,4.2,"24,269",1
B0141EZMAI,269,800,0.66,3.6,"10,134",1
B09Q5P2MT3,24999,"31,999",0.22,4.2,"34,899",1
B08HDH26JX,299,699,0.57,4.2,"94,363",1
B09VT6JKRP,199,999,0.8,4.1,425,0
B09T3KB6JZ,18990,"40,990",0.54,4.2,"6,659",1
B093QCY6YJ,290,349,0.17,3.7,"1,977",0
B093ZNQZ2Y,249,799,0.69,3.8,"1,079",0
B08LKS3LSP,345,999,0.65,3.7,"1,097",0
B00V4BGDKU,1099,"1,899",0.42,4.5,"22,420",1
B08CHKQ8D4,719,"1,499",0.52,4.1,"1,045",0
B09BW334ML,349,"1,499",0.77,4.3,"4,145",1
B082T6GVLJ,849,"1,809",0.53,4.3,"6,547",1
B07DL1KC3H,299,899,0.67,4,"1,588",0
B0B6F98KJJ,21999,"29,999",0.27,4.2,"32,840",1
B07JNVF678,349,999,0.65,4.2,"13,120",1
B09QGZFBPM,399,999,0.6,4.3,"2,806",1
B07JGDB5M1,449,"1,299",0.65,4.2,"24,269",1
B0981XSZJ7,299,999,0.7,4.3,766,0
B0B9XLX8VR,37999,"65,000",0.42,4.3,"3,587",0
B08Y5KXR6Z,99,800,0.88,3.9,"24,871",1
B09F6VHQXB,7390,"20,000",0.63,4.1,"2,581",0
B0974G5Q2Y,273.1,999,0.73,4.3,"20,850",1
B09YL9SN9B,15990,"23,990",0.33,4.3,"1,035",0
B09RX1FK54,399,999,0.6,4.1,"1,780",0
B09TT6BFDX,399,"1,999",0.8,4.5,505,0
B09KH58JZR,210,399,0.47,4.1,"1,717",0
B09DDCQFMT,1299,"1,999",0.35,3.6,590,0
B08RP2L2NL,347,999,0.65,3.5,"1,121",0
B0B4G2MWSB,149,999,0.85,4,"1,313",0
B0B21C4BMX,228,899,0.75,3.8,132,0
B084MZXJNK,1599,"1,999",0.2,4.4,"1,951",1
B0BHZCNC4P,1499,"3,999",0.63,3.7,37,0
B0B16KD737,8499,"15,999",0.47,4.3,592,0
B099K9ZX65,20990,"44,990",0.53,4.1,"1,259",0
