product_id,discounted_price,actual_price,discount_percentage,rating,rating_count
B09NHVCHS9,59,199,70.00%,4,9378
B0B1YVCJ2Y,11499,19990,42.00%,4.3,4703
B01M4GGIVU,199,699,72.00%,4.2,12153
B08B42LWKN,14999,19999,25.00%,4.2,34899
B094JNXNPV,299,399,25.00%,4,2766
B09W5XR9RT,970,1999,51.00%,4.4,184
B077Z65HSD,299,999,70.00%,4.3,20850
B00NH11PEY,199,750,73.00%,4.5,74976
B09CMM3VGK,179,499,64.00%,4,1934
B08QSC1XY8,389,1099,65.00%,4.3,974
B008FWZGSG,599,599,0.00%,4.3,355
B0B4HJNPV4,199,999,80.00%,3.9,1075
B08Y1SJVV5,99,666.66,85.00%,3.9,24871
B07XLCFSSN,899,1900,53.00%,4.4,13552
B09RZS1NQT,199,999,80.00%,4,576
B0B3MMYHYW,32999,45999,28.00%,4.2,7298
B09C6HWG18,970,1999,51.00%,4.2,462
B09JPC82QC,19999,34999,43.00%,4.3,27151
B07JW1Y6XV,399,1099,64.00%,4.2,24269
B07KRCW6LZ,999,1599,38.00%,4.3,12093
B09NJN8L25,59,199,70.00%,4,9378
B07XJYYH7L,333,999,67.00%,3.3,9792
B002PD61Y4,507,1208,58.00%,4.1,8131
B09L8DSSFH,399,999,60.00%,3.6,493
B07232M876,199,395,50.00%,4.2,92595
B07P681N66,1199,2199,45.00%,4.4,24780
B0711PVX6Z,179,500,64.00%,4.2,92595
B082T6V3DT,799,2100,62.00%,4.3,8188
B07MKFNHKG,6999,12999,46.00%,4.2,4003
B0BFWGBX61,199,349,43.00%,4.1,314
B01N90RZ4M,230,499,54.00%,3.7,2960
B09Q5SWVBJ,15999,21999,27.00%,4.2,34899
B0B4DT8MKT,348,1499,77.00%,4.2,656
B08CDKQ8T6,154,349,56.00%,4.3,7064
B07B275VN9,179,799,78.00%,3.7,2201
B0B15CPR37,32990,47900,31.00%,4.3,7109
B0994GFWBH,139,999,86.00%,4,1313
B01GGKZ0V6,329,845,61.00%,4.2,29746
B09F9YQQ7B,13999,24999,44.00%,4.2,45238
B09Q8HMKZX,263,699,62.00%,4.1,450
B0B9XN9S3W,7999,14990,47.00%,4.3,457
B07966M8XH,1599,2999,47.00%,4.2,2727
B01GGKYKQM,219,700,69.00%,4.3,20053
B0B86CDHL1,349,899,61.00%,4.5,149
B0B5ZF3NRK,349,599,42.00%,4.1,210
