product_id,discounted_price,actual_price,discount_percentage,rating,rating_count
B07JW9H4J1,399,1099,0.64,4.2,24269
B098NS6PVG,199,349,0.43,4,43994
B096MSW6CT,199,1899,0.90,3.9,7928
B08HDJ86NZ,329,699,0.53,4.2,94363
B08CF3B7N1,154,399,0.61,4.2,16905
B08Y1TFSP6,149,1000,0.85,3.9,24871
B08WRWPM22,176.63,499,0.65,4.1,15188
B08DDRGWTJ,229,299,0.23,4.3,30411
B008IFXQFU,499,999,0.50,4.2,179691
B082LZGK39,199,299,0.33,4,43994
B08CF3D7QR,154,339,0.55,4.3,13391
B0789LZTCJ,299,799,0.63,4.2,94363
B07KSMBL2H,219,700,0.69,4.4,426973
B085DTN6R2,350,899,0.61,4.2,2262
B09KLVMZ3B,159,399,0.60,4.1,4768
B083342NKJ,349,399,0.13,4.4,18757
B0B6F7LX4C,13999,24999,0.44,4.2,32840
B082LSVT4B,249,399,0.38,4,43994
B08WRBG3XW,199,499,0.60,4.1,13045
B08DPLCM6T,13490,21990,0.39,4.3,11976
B09C6HXFC1,970,1799,0.46,4.5,815
B085194JFL,279,499,0.44,3.7,10962
B09F6S8BT6,13490,22900,0.41,4.3,16299
B09NHVCHS9,59,199,0.70,4,9378
B0B1YVCJ2Y,11499,19990,0.42,4.3,4703
B01M4GGIVU,199,699,0.72,4.2,12153
B08B42LWKN,14999,19999,0.25,4.2,34899
B094JNXNPV,299,399,0.25,4,2766
B09W5XR9RT,970,1999,0.51,4.4,184
B077Z65HSD,299,999,0.70,4.3,20850
B00NH11PEY,199,750,0.73,4.5,74976
B09CMM3VGK,179,499,0.64,4,1934
B08QSC1XY8,389,1099,0.65,4.3,974
B008FWZGSG,599,599,0.00,4.3,355
B0B4HJNPV4,199,999,0.80,3.9,1075
B08Y1SJVV5,99,666.66,0.85,3.9,24871
B07XLCFSSN,899,1900,0.53,4.4,13552
B09RZS1NQT,199,999,0.80,4,576
B0B3MMYHYW,32999,45999,0.28,4.2,7298
B09C6HWG18,970,1999,0.51,4.2,462
B00NH11KIK,209,695,0.70,4.5,107687
B09JPC82QC,19999,34999,0.43,4.3,27151
B07JW1Y6XV,399,1099,0.64,4.2,24269
B07KRCW6LZ,999,1599,0.38,4.3,12093
B09NJN8L25,59,199,0.70,4,9378
B07XJYYH7L,333,999,0.67,3.3,9792
B002PD61Y4,507,1208,0.58,4.1,8131
B014I8SSD0,309,475,0.35,4.4,426973
B09L8DSSFH,399,999,0.60,3.6,493
B07232M876,199,395,0.50,4.2,92595
B07P681N66,1199,2199,0.45,4.4,24780
B0711PVX6Z,179,500,0.64,4.2,92595
B082T6V3DT,799,2100,0.62,4.3,8188
B07MKFNHKG,6999,12999,0.46,4.2,4003
B0BFWGBX61,199,349,0.43,4.1,314
B01N90RZ4M,230,499,0.54,3.7,2960
B0088TKTY2,649,1399,0.54,4.2,179691
B09Q5SWVBJ,15999,21999,0.27,4.2,34899
B0B4DT8MKT,348,1499,0.77,4.2,656
B08CDKQ8T6,154,349,0.56,4.3,7064
B07B275VN9,179,799,0.78,3.7,2201
B0B15CPR37,32990,47900,0.31,4.3,7109
B0994GFWBH,139,999,0.86,4,1313
B01GGKZ0V6,329,845,0.61,4.2,29746
B09F9YQQ7B,13999,24999,0.44,4.2,45238
B014I8SX4Y,309,1400,0.78,4.4,426973
B09Q8HMKZX,263,699,0.62,4.1,450
B0B9XN9S3W,7999,14990,0.47,4.3,457
B07966M8XH,1599,2999,0.47,4.2,2727
B01GGKYKQM,219,700,0.69,4.3,20053
B0B86CDHL1,349,899,0.61,4.5,149
B0B5ZF3NRK,349,599,0.42,4.1,210
B09RFC46VP,26999,42999,0.37,4.2,45238
B08R69VDHT,115,499,0.77,4,7732
B09RWZRCP1,399,999,0.60,4.1,1780
B09CMP1SC8,199,499,0.60,4.1,602
B09YLXYP7Y,179,399,0.55,4,1423
B09ZPM4C2C,10901,30990,0.65,4.1,398
B0B2DJDCPX,209,499,0.58,3.9,536
B0BCZCQTJX,1434,3999,0.64,4,32
B07LGT55SJ,399,1099,0.64,4.2,24269
B09NKZXMWJ,139,249,0.44,4,9378
B08QX1CC14,7299,19125,0.62,3.4,902
B0974H97TJ,299,799,0.63,4.4,28791
B07GVGTSLN,325,1299,0.75,4.2,10576
B09VCHLSJF,29999,39999,0.25,4.2,7298
B0B1YZX72F,27999,40990,0.32,4.3,4703
B092BJMT8Q,30990,52900,0.41,4.3,7109
B0BMXMLSMM,199,999,0.80,4.5,127
B07JH1C41D,649,1999,0.68,4.2,24269
B0141EZMAI,269,800,0.66,3.6,10134
B09Q5P2MT3,24999,31999,0.22,4.2,34899
B08HDH26JX,299,699,0.57,4.2,94363
B09VT6JKRP,199,999,0.80,4.1,425
B09T3KB6JZ,18990,40990,0.54,4.2,6659
B093QCY6YJ,290,349,0.17,3.7,1977
B093ZNQZ2Y,249,799,0.69,3.8,1079
B08LKS3LSP,345,999,0.65,3.7,1097
B00V4BGDKU,1099,1899,0.42,4.5,22420
B08CHKQ8D4,719,1499,0.52,4.1,1045
B09BW334ML,349,1499,0.77,4.3,4145
B082T6GVLJ,849,1809,0.53,4.3,6547
B07DL1KC3H,299,899,0.67,4,1588
B0B6F98KJJ,21999,29999,0.27,4.2,32840
B07JNVF678,349,999,0.65,4.2,13120
B09QGZFBPM,399,999,0.60,4.3,2806
B07JGDB5M1,449,1299,0.65,4.2,24269
B0981XSZJ7,299,999,0.70,4.3,766
B0B9XLX8VR,37999,65000,0.42,4.3,3587
B08Y5KXR6Z,99,800,0.88,3.9,24871
B09F6VHQXB,7390,20000,0.63,4.1,2581
B0974G5Q2Y,273.1,999,0.73,4.3,20850
B09YL9SN9B,15990,23990,0.33,4.3,1035
B09RX1FK54,399,999,0.60,4.1,1780
B09TT6BFDX,399,1999,0.80,4.5,505
B09KH58JZR,210,399,0.47,4.1,1717
B09DDCQFMT,1299,1999,0.35,3.6,590
B08RP2L2NL,347,999,0.65,3.5,1121
B0B4G2MWSB,149,999,0.85,4,1313
B0B21C4BMX,228,899,0.75,3.8,132
B084MZXJNK,1599,1999,0.20,4.4,1951
B0BHZCNC4P,1499,3999,0.63,3.7,37
B0B16KD737,8499,15999,0.47,4.3,592
B099K9ZX65,20990,44990,0.53,4.1,1259
B08Y55LPBF,32999,44999,0.27,4.2,45238
B015OW3M1W,799,1700,0.53,4.1,28638
B01D5H8ZI8,229,595,0.62,4.3,12835
B09X1M3DHX,9999,27990,0.64,4.2,1269
B09MM6P76N,349,599,0.42,4.2,284
B01D5H8LDM,489,1200,0.59,4.4,69538
B0B1YY6JJL,23999,34990,0.31,4.3,4703
B09QGZM8QB,399,999,0.60,4.3,2806
B08L4SBJRY,349,1299,0.73,4,3295
B09X79PP8F,179,299,0.40,3.9,81
B082T6GVG9,689,1500,0.54,4.2,42301
B0B3XY5YT4,30990,49990,0.38,4.3,1376
B0B4HKH19N,249,931,0.73,3.9,1075
B08TGG316Z,999,2399,0.58,4.6,3664
B071VMP1Z4,399,399,0.00,3.9,1951
B071SDRGWL,349,699,0.50,4.3,20850
B08PSQRW2T,399,1099,0.64,4.1,2685
B0859M539M,1699,2999,0.43,4.4,24780
B08RX8G496,655,1099,0.40,3.2,285
B002SZEOLG,749,1339,0.44,4.2,179692
B08CS3BT4L,9999,12999,0.23,4.2,6088
B00RFWNJMC,195,499,0.61,3.7,1383
B082T6GXS5,999,2100,0.52,4.5,5492
B09CMQRQM6,499,899,0.44,4.2,919
B005LJQMCK,416,599,0.31,4.2,30023
B09C6H53KH,368,699,0.47,4.2,387
B0BB3CBFBM,29990,65000,0.54,4.1,211
B08QSDKFGQ,339,1099,0.69,4.3,974
B08PV1X771,15490,20900,0.26,4.3,16299
B07YTNKVJQ,499,1299,0.62,4.3,30411
B0117H7GZ6,249,399,0.38,3.4,4642
B09XJ1LM7R,399,799,0.50,4.3,12
B084N133Y7,1499,1999,0.25,4.4,1951
B088Z1YWBC,9490,15990,0.41,3.9,10480
B07VSG5SXZ,637,1499,0.58,4.1,24
B08RWCZ6SY,399,899,0.56,3.9,254
B07KSB1MLX,1089,1600,0.32,4,3565
B081FG1QYX,339,999,0.66,4.3,6255
B08R69WBN7,149,499,0.70,4,7732
B0B3RHX6B6,149,399,0.63,3.9,57
B084N18QZY,599,849,0.29,4.5,577
B081NHWT6Z,299,1199,0.75,3.9,1193
B07JPJJZ2H,399,1299,0.69,4.2,13120
B09JKNF147,339,1999,0.83,4,343
B0B9959XF3,12499,22990,0.46,4.3,1611
B09PNR6F8Q,249,399,0.38,4,6558
B07M69276N,1399,2499,0.44,4.4,23169
B0B1YZ9CB8,32999,47990,0.31,4.3,4703
B09YLYB9PB,149,399,0.63,4,1423
B08CTNJ985,325,999,0.67,4.3,2651
B0BP7XLX48,399,1999,0.80,5,5
B09LHXNZLR,199,499,0.60,3.7,612
B0B3N8VG24,88,299,0.71,4,9378
B08PSVBB2X,399,1099,0.64,4.1,2685
B0B3MQXNFB,57.89,199,0.71,4,9378
B08XMSKKMM,799,1999,0.60,3.3,576
B09L8DT7D6,205,499,0.59,3.8,313
B00GE55L22,299,699,0.57,4.1,2957
B0162K34H2,849,999,0.15,4.1,6736
B0B8SRZ5SV,949,1999,0.53,4.4,13552
B07CWNJLPC,499,1200,0.58,4.3,5451
B00NH12R1O,299,485,0.38,4.3,10911
B0B8SSC5D9,949,1999,0.53,4.4,13552
B08WKG2MWT,379,1099,0.66,4.3,2806
B0B466C3G4,8990,18990,0.53,3.9,350
B005LJQMZC,486,1999,0.76,4.2,30023
B07MDRGHWQ,5699,11000,0.48,4.2,4003
B07DC4RZPY,709,1999,0.65,4.1,178817
B0B15GSPQW,47990,70900,0.32,4.3,7109
B08GJNM9N7,299,1199,0.75,3.7,490
B09C6FML9B,320,599,0.47,4.1,491
B0B65MJ45G,139,549,0.75,3.9,61
B08P9RYPLR,129,249,0.48,4,9378
B0B6F8HHR6,24999,35999,0.31,4.2,32840
B084MZXJN6,999,1699,0.41,4.4,7318
B08XMG618K,225,499,0.55,4.1,789
B0BCKWZ884,547,2999,0.82,4.3,407
B00GGGOYEK,259,699,0.63,3.8,2399
B07ZR4S1G4,239,699,0.66,4.4,2640
B09C635BMM,349,999,0.65,4,839
B00GG59HU2,467,599,0.22,4.4,44054
B00RGLI0ZS,449,599,0.25,4,3231
B09ZPJT8B2,11990,31990,0.63,4.2,64
B07HZ2QCGR,350,599,0.42,3.9,8314
B095244Q22,252,999,0.75,3.7,2249
B08CKW1KH9,204,599,0.66,3.6,339
B0BLV1GNLN,6490,9990,0.35,4,27
B08RHPDNVV,235,599,0.61,3.5,197
B00NH13Q8W,299,800,0.63,4.5,74977
B0B8SSZ76F,799,1999,0.60,4.2,8583
B0841KQR1Z,299,999,0.70,3.8,928
B0B467CCB9,6999,16990,0.59,3.8,110
B095JQVC7N,42999,59999,0.28,4.1,6753
B08PPHFXG3,173,999,0.83,4.3,1237
B06XR9PR5X,209,600,0.65,4.4,18872
B09JSW16QD,848.99,1490,0.43,3.9,356
B07JH1CBGW,649,1999,0.68,4.2,24269
B09127FZCK,299,899,0.67,3.8,425
B083GQGT3Z,399,799,0.50,4.1,1161
B09Q8WQ5QJ,249,499,0.50,4.1,1508
B07YZG8PPY,1249,2299,0.46,4.3,7636
B09H39KTTB,213,499,0.57,3.7,246
B08DCVRW98,209,499,0.58,4,479
B0718ZN31Q,598,4999,0.88,4.2,910
B0162LYSFS,799,1749,0.54,4.1,5626
B07PFJ5VQD,159,595,0.73,4.3,14184
B01J8S6X2I,499,1100,0.55,4.4,25177
B09MJ77786,31999,49999,0.36,4.3,21252
B09NNGHG22,32990,56790,0.42,4.3,567
B07V5YF4ND,299,1199,0.75,3.5,466
B0B65P827P,128.31,549,0.77,3.9,61
B084MZYBTV,599,849,0.29,4.5,474
B097ZQTDVZ,399,899,0.56,3.4,431
B0B5F3YZY4,449,1099,0.59,4,242
B09G5TSGXV,254,799,0.68,4,2905
B006LW0WDQ,399,795,0.50,4.4,12091
B09YLX91QR,179,399,0.55,4,1423
B081FJWN52,339,999,0.66,4.3,6255
B0758F7KK7,399,999,0.60,4,1236
B09L835C3V,199,399,0.50,4.2,1335
B098TV3L96,349,1999,0.83,3.8,197
B08NCKT9FG,299,798,0.63,4.4,28791
B0B4T6MR8N,89,800,0.89,3.9,1075
B01GGKZ4NU,549,995,0.45,4.2,29746
B09BW2GP18,129,1000,0.87,3.9,295
B09WN3SRC7,77990,139900,0.44,4.7,5935
B09B125CFJ,349,799,0.56,3.6,323
B09RQRZW2X,499,899,0.44,3.7,185
B07924P3C5,299,799,0.63,4.2,2117
B08N1WL9XW,182,599,0.70,4,9378
B07VVXJ2P5,96,399,0.76,3.6,1796
B0BC8BQ432,54990,85000,0.35,4.3,3587
B06XFTHCNY,439,758,0.42,4.2,4296
B08CT62BM1,299,999,0.70,4.3,2651
B07CRL2GY6,299,799,0.63,4.2,94363
B07DWFX9YS,789,1999,0.61,4.2,34540
B01D5H90L4,299,700,0.57,4.4,8714
B07F1P8KNV,325,1099,0.70,4.2,10576
B084N1BM9L,1299,1999,0.35,4.4,7318
B09F6D21BY,790,1999,0.60,3,103
B09LQQYNZQ,4699,4699,0.00,4.5,224
B0BC9BW512,18999,24990,0.24,4.3,4702
B0B61HYR92,199,999,0.80,4.2,85
B075ZTJ9XR,269,650,0.59,4.4,35877
B0978V2CP6,1990,3100,0.36,4,897
B09LRZYBH1,2299,3999,0.43,3.8,282
B0B997FBZT,35999,49990,0.28,4.3,1611
B098LCVYPW,349,999,0.65,4.2,513
B09HV71RL1,719,1499,0.52,4.1,1045
B08PZ6HZLT,8999,18999,0.53,4,6347
B075TJHWVC,917,2299,0.60,4.2,3300
