Product_ID,discount_price,actual_price,discount_percentage,rating_count
137E33EB6,32999.00,58990.00,55.94%,2255.00
10990B788,46490.00,75990.00,61.18%,2948.00
EA0485101,34490.00,61990.00,55.64%,1206.00
32035584C,37990.00,68990.00,55.07%,69.00
7D22A3666,34490.00,67790.00,50.88%,630.00
650A3F90E,31990.00,70990.00,45.06%,1666.00
EEA5BB21C,29999.00,49990.00,60.01%,1097.00
189A4E316,39990.00,67990.00,58.82%,1494.00
CA218DCF9,30990.00,58190.00,53.26%,674.00
BF9203E1B,37999.00,73990.00,51.36%,801.00
E7BE8E266,32990.00,48200.00,68.44%,558.00
67086FCEF,44990.00,67200.00,66.95%,730.00
F7BFA3090,45990.00,63400.00,72.54%,5073.00
6DE274253,41999.00,78490.00,53.51%,568.00
1D13192ED,31990.00,62000.00,51.60%,3670.00
8B727E5A9,35499.00,60990.00,58.20%,312.00
6406A50A6,34000.00,57990.00,58.63%,88.00
40BA58467,37490.00,54900.00,68.29%,432.00
2B1B06EF4,29490.00,42900.00,68.74%,268.00
798F97A78,39499.00,58400.00,67.64%,2.00
4AAF0A01A,35990.00,62250.00,57.82%,700.00
444E8AB53,33490.00,62990.00,53.17%,540.00
827D32DEC,42490.00,71990.00,59.02%,258.00
D14BEB82C,39990.00,54600.00,73.24%,2178.00
DB1D8B0AF,43599.00,72990.00,59.73%,1444.00
B81A9FA97,36700.00,49990.00,73.41%,360.00
904D64EE6,31999.00,50990.00,62.76%,38.00
FB66AFAD9,32480.00,75990.00,42.74%,1208.00
E6A09FB44,32490.00,46900.00,69.28%,341.00
C63A0CA01,44990.00,79990.00,56.24%,3.00
5B7A77887,37699.00,62990.00,59.85%,15.00
D2331AEFF,29990.00,57700.00,51.98%,925.00
58978D491,38990.00,70600.00,55.23%,3604.00
1C27F2BDE,27490.00,54990.00,49.99%,42.00
740B4D705,30490.00,57990.00,52.58%,22.00
D3307CB2D,38499.00,55500.00,69.37%,94.00
944CDF09F,32990.00,39000.00,84.59%,1866.00
81659FE5A,26490.00,33000.00,80.27%,292.00
D4CA9075D,37990.00,55400.00,68.57%,1830.00
4640A70E2,34699.00,53990.00,64.27%,8.00
8B8E740F9,37800.00,55600.00,67.99%,536.00
EF50E7619,30990.00,45090.00,68.73%,201.00
D7DB0C4DA,44477.00,47790.00,93.07%,3.00
E7B50722F,28990.00,41500.00,69.86%,2722.00
141A7B2FD,52990.00,91690.00,57.79%,69.00
370F9AD1D,32690.00,51500.00,63.48%,202.00
2AC0C9380,29990.00,52900.00,56.69%,23.00
DA353DC7E,32990.00,56990.00,57.89%,1195.00
5B7440C93,29950.00,56990.00,52.55%,5.00
6C546878F,48990.00,80890.00,60.56%,66.00
49649B684,32999.00,54990.00,60.01%,474.00
75758989E,25690.00,43990.00,58.40%,502.00
B35198D11,32490.00,48100.00,67.55%,686.00
11EBAA285,34490.00,64200.00,53.72%,1183.00
3D65296B5,37699.00,61990.00,60.81%,56.00
E8DFE2BFC,42240.00,71900.00,58.75%,1.00
E64B7134F,52090.00,85990.00,60.58%,49.00
207C8983D,46499.00,73990.00,62.84%,212.00
7594F0CEE,42990.00,59400.00,72.37%,3.00
D5891840A,30399.00,39500.00,76.96%,79.00
62858AB3F,34990.00,44500.00,78.63%,468.00
50BE19FF9,32490.00,47100.00,68.98%,317.00
ACFC03B3B,28990.00,49089.00,59.06%,88.00
3CEADF8E4,40618.00,42190.00,96.27%,45.00
E4A80BA0D,49349.00,75990.00,64.94%,142.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
